sigma,loss,loss_std,model
3.36359,4.5239451752068345e-06,3.91922416633026e-05,True
5.63466,0.0095446246468142,3.186558330772343e-05,Random
5.38231,0.0095570942565066,3.0433380383693946e-05,Random
5.12997,0.0094247910050324,2.861279327917226e-05,Random
4.87763,0.0091223851566729,2.6384042539434272e-05,Random
4.62529,0.0086312348266831,2.3750997175768232e-05,Random
4.37295,0.0079459873356036,2.0754446413099864e-05,Random
4.12061,0.0070825436242068,1.7487452270619546e-05,Random
3.86827,0.0060856012547953,1.4109617965712173e-05,Random
3.61593,0.0050320947634574,1.0854237717116724e-05,Random
3.36359,0.004025060214359047,8.018034705152067e-06,Random
