sigma,loss,loss_std,model
7.90497,4.072956520283222e-06,4.6153214077822753e-05,True
8.72102,6.602509503604581e-06,6.142275717989853e-05,True
9.53706,9.049684479574271e-06,7.550891895743876e-05,True
10.3531,1.1210881386046478e-05,8.757872444954104e-05,True
11.16915,1.2986392835334648e-05,9.724889219084743e-05,True
3.82475,0.0007321259107707,6.391983598484466e-06,Random
4.6408,0.0061666462349371,4.806346383924275e-05,Random
5.45684,0.0215980371018934,0.0001573377905873,Random
6.27288,0.047217032674579,0.0003347008106348,Random
7.08893,0.0778533182731655,0.0005564870790659,Random
7.90497,0.1071249484611622,0.0007939492576397,Random
8.72102,0.1306450270911798,0.0010229698608347,Random
9.53706,0.1467298913388905,0.0012268443204874,Random
10.3531,0.1556601034115784,0.0013962427886445,Random
11.16915,0.1586848232376975,0.0015278862481569,Random
3.82475,0.0003217193765854,3.68763711193772e-06,IqpSimulatorBitflip
4.6408,0.0016699443598099,1.6452113196465843e-05,IqpSimulatorBitflip
5.45684,0.0039679916070333,2.403737140805911e-05,IqpSimulatorBitflip
6.27288,0.0068658762386215,4.927797419572571e-05,IqpSimulatorBitflip
7.08893,0.0103872109551334,0.0001484303719451,IqpSimulatorBitflip
7.90497,0.0144923815223043,0.0002976365206788,IqpSimulatorBitflip
8.72102,0.01887186402586,0.000470200131591,IqpSimulatorBitflip
9.53706,0.0231037303858565,0.0006428556908558,IqpSimulatorBitflip
10.3531,0.0268387438894782,0.000799220785945,IqpSimulatorBitflip
11.16915,0.029875644145031743,0.0009303053287230421,IqpSimulatorBitflip
